Paper_Link,Year,Composition,A_site,B_site,T,σ,κ,S,zT,Z_A,Z_B,IE_A,IE_B,EN_A,EN_B,EA_A,EA_B,AD_A,AD_B,IR_A,IR_B,MP_A,MP_B,BP_A,BP_B,HE_A,HE_B,HF_A,HF_B,IR_X,Tf,Of
https://doi.org/10.1007/s40145-021-0462-5 ,2021.0,Ca0.2Sr0.2Ba0.2Pb0.2La0.2TiO3,"Ca, Sr, Ba, Pb, La",Ti,323.0,26.2002124722337,1.45769230769231,-160.583438808295,0.014604462474645,50.6,22.0,579.18,658.8,1.254,1.54,20.894,7.6,5.038400000000001,4.51,115.0,74.5,718.6999999999999,1668.0,1984.2,3287.0,203.12,425.0,7.246,14.15,140.0,0.8407434150008407,0.5321428571428571
https://doi.org/10.1007/s40145-021-0462-5 ,2021.0,Ca0.2Sr0.2Ba0.2Pb0.2La0.2TiO3,"Ca, Sr, Ba, Pb, La",Ti,340.0,28.2383552149435,1.49230769230769,-166.454824262487,0.0186612576064909,50.6,22.0,579.18,658.8,1.254,1.54,20.894,7.6,5.038400000000001,4.51,115.0,74.5,718.6999999999999,1668.0,1984.2,3287.0,203.12,425.0,7.246,14.15,140.0,0.8407434150008407,0.5321428571428571
https://doi.org/10.1007/s40145-021-0462-5 ,2021.0,Ca0.2Sr0.2Ba0.2Pb0.2La0.2TiO3,"Ca, Sr, Ba, Pb, La",Ti,354.0,30.8472188293575,1.51346153846154,-171.346850355369,0.0210953346855984,50.6,22.0,579.18,658.8,1.254,1.54,20.894,7.6,5.038400000000001,4.51,115.0,74.5,718.6999999999999,1668.0,1984.2,3287.0,203.12,425.0,7.246,14.15,140.0,0.8407434150008407,0.5321428571428571
https://doi.org/10.1007/s40145-021-0462-5 ,2021.0,Ca0.2Sr0.2Ba0.2Pb0.2La0.2TiO3,"Ca, Sr, Ba, Pb, La",Ti,370.0,33.0484084466235,1.54807692307692,-174.281861551942,0.0239350912778905,50.6,22.0,579.18,658.8,1.254,1.54,20.894,7.6,5.038400000000001,4.51,115.0,74.5,718.6999999999999,1668.0,1984.2,3287.0,203.12,425.0,7.246,14.15,140.0,0.8407434150008407,0.5321428571428571
https://doi.org/10.1007/s40145-021-0462-5 ,2021.0,Ca0.2Sr0.2Ba0.2Pb0.2La0.2TiO3,"Ca, Sr, Ba, Pb, La",Ti,385.0,35.9834794316652,1.53076923076923,-180.396212637523,0.0296146044624747,50.6,22.0,579.18,658.8,1.254,1.54,20.894,7.6,5.038400000000001,4.51,115.0,74.5,718.6999999999999,1668.0,1984.2,3287.0,203.12,425.0,7.246,14.15,140.0,0.8407434150008407,0.5321428571428571
https://doi.org/10.1007/s40145-021-0462-5 ,2021.0,Ca0.2Sr0.2Ba0.2Pb0.2La0.2TiO3,"Ca, Sr, Ba, Pb, La",Ti,396.0,37.5327087937372,1.51730769230769,-183.575893291792,0.0332657200811359,50.6,22.0,579.18,658.8,1.254,1.54,20.894,7.6,5.038400000000001,4.51,115.0,74.5,718.6999999999999,1668.0,1984.2,3287.0,203.12,425.0,7.246,14.15,140.0,0.8407434150008407,0.5321428571428571
https://doi.org/10.1007/s40145-021-0462-5 ,2021.0,Ca0.2Sr0.2Ba0.2Pb0.2La0.2TiO3,"Ca, Sr, Ba, Pb, La",Ti,409.0,39.1631775392988,1.47884615384615,-188.71224807711,0.0401622718052738,50.6,22.0,579.18,658.8,1.254,1.54,20.894,7.6,5.038400000000001,4.51,115.0,74.5,718.6999999999999,1668.0,1984.2,3287.0,203.12,425.0,7.246,14.15,140.0,0.8407434150008407,0.5321428571428571
https://doi.org/10.1007/s40145-021-0462-5 ,2021.0,Ca0.2Sr0.2Ba0.2Pb0.2La0.2TiO3,"Ca, Sr, Ba, Pb, La",Ti,423.0,40.7942143924374,1.45769230769231,-193.114594489339,0.0450304259634888,50.6,22.0,579.18,658.8,1.254,1.54,20.894,7.6,5.038400000000001,4.51,115.0,74.5,718.6999999999999,1668.0,1984.2,3287.0,203.12,425.0,7.246,14.15,140.0,0.8407434150008407,0.5321428571428571
https://doi.org/10.1007/s40145-021-0462-5 ,2021.0,Ca0.2Sr0.2Ba0.2Pb0.2La0.2TiO3,"Ca, Sr, Ba, Pb, La",Ti,439.0,42.2622043710197,1.45769230769231,-196.29461590887,0.0490872210953347,50.6,22.0,579.18,658.8,1.254,1.54,20.894,7.6,5.038400000000001,4.51,115.0,74.5,718.6999999999999,1668.0,1984.2,3287.0,203.12,425.0,7.246,14.15,140.0,0.8407434150008407,0.5321428571428571
https://doi.org/10.1007/s40145-021-0462-5 ,2021.0,Ca0.2Sr0.2Ba0.2Pb0.2La0.2TiO3,"Ca, Sr, Ba, Pb, La",Ti,458.0,44.3827227123728,1.45192307692308,-200.699347677928,0.0580121703853956,50.6,22.0,579.18,658.8,1.254,1.54,20.894,7.6,5.038400000000001,4.51,115.0,74.5,718.6999999999999,1668.0,1984.2,3287.0,203.12,425.0,7.246,14.15,140.0,0.8407434150008407,0.5321428571428571
